id,brand,customer_message,label
1,AppleSupport,AppleSupport customer issue example 1,delivery_issue
2,AppleSupport,AppleSupport customer issue example 2,delivery_not_received
3,AppleSupport,AppleSupport customer issue example 3,damaged_or_missing_item
4,AppleSupport,AppleSupport customer issue example 4,refund_issue
5,AppleSupport,AppleSupport customer issue example 5,payment_issue
6,AppleSupport,AppleSupport customer issue example 6,return_issue
7,AppleSupport,AppleSupport customer issue example 7,order_issue
8,AppleSupport,AppleSupport customer issue example 8,account_issue
9,AppleSupport,AppleSupport customer issue example 9,prime_membership_issue
10,AppleSupport,AppleSupport customer issue example 10,digital_device_issue
11,AppleSupport,AppleSupport customer issue example 11,other
12,AppleSupport,AppleSupport customer issue example 12,delivery_issue
13,AppleSupport,AppleSupport customer issue example 13,delivery_not_received
14,AppleSupport,AppleSupport customer issue example 14,damaged_or_missing_item
15,AppleSupport,AppleSupport customer issue example 15,refund_issue
16,AppleSupport,AppleSupport customer issue example 16,payment_issue
17,AppleSupport,AppleSupport customer issue example 17,return_issue
18,AppleSupport,AppleSupport customer issue example 18,order_issue
19,AppleSupport,AppleSupport customer issue example 19,account_issue
20,AppleSupport,AppleSupport customer issue example 20,prime_membership_issue
21,AppleSupport,AppleSupport customer issue example 21,digital_device_issue
22,AppleSupport,AppleSupport customer issue example 22,other
23,AppleSupport,AppleSupport customer issue example 23,delivery_issue
24,AppleSupport,AppleSupport customer issue example 24,delivery_not_received
25,AppleSupport,AppleSupport customer issue example 25,damaged_or_missing_item
26,AppleSupport,AppleSupport customer issue example 26,refund_issue
27,AppleSupport,AppleSupport customer issue example 27,payment_issue
28,AppleSupport,AppleSupport customer issue example 28,return_issue
29,AppleSupport,AppleSupport customer issue example 29,order_issue
30,AppleSupport,AppleSupport customer issue example 30,account_issue
31,AppleSupport,AppleSupport customer issue example 31,prime_membership_issue
32,AppleSupport,AppleSupport customer issue example 32,digital_device_issue
33,AppleSupport,AppleSupport customer issue example 33,other
34,AppleSupport,AppleSupport customer issue example 34,delivery_issue
35,AppleSupport,AppleSupport customer issue example 35,delivery_not_received
36,AppleSupport,AppleSupport customer issue example 36,damaged_or_missing_item
37,AppleSupport,AppleSupport customer issue example 37,refund_issue
38,AppleSupport,AppleSupport customer issue example 38,payment_issue
39,AppleSupport,AppleSupport customer issue example 39,return_issue
40,AppleSupport,AppleSupport customer issue example 40,order_issue
41,AppleSupport,AppleSupport customer issue example 41,account_issue
42,AppleSupport,AppleSupport customer issue example 42,prime_membership_issue
43,AppleSupport,AppleSupport customer issue example 43,digital_device_issue
44,AppleSupport,AppleSupport customer issue example 44,other
45,AppleSupport,AppleSupport customer issue example 45,delivery_issue
46,AppleSupport,AppleSupport customer issue example 46,delivery_not_received
47,AppleSupport,AppleSupport customer issue example 47,damaged_or_missing_item
48,AppleSupport,AppleSupport customer issue example 48,refund_issue
49,AppleSupport,AppleSupport customer issue example 49,payment_issue
50,AppleSupport,AppleSupport customer issue example 50,return_issue
51,AppleSupport,AppleSupport customer issue example 51,order_issue
52,AppleSupport,AppleSupport customer issue example 52,account_issue
53,AppleSupport,AppleSupport customer issue example 53,prime_membership_issue
54,AppleSupport,AppleSupport customer issue example 54,digital_device_issue
55,AppleSupport,AppleSupport customer issue example 55,other
56,AppleSupport,AppleSupport customer issue example 56,delivery_issue
57,AppleSupport,AppleSupport customer issue example 57,delivery_not_received
58,AppleSupport,AppleSupport customer issue example 58,damaged_or_missing_item
59,AppleSupport,AppleSupport customer issue example 59,refund_issue
60,AppleSupport,AppleSupport customer issue example 60,payment_issue
61,AppleSupport,AppleSupport customer issue example 61,return_issue
62,AppleSupport,AppleSupport customer issue example 62,order_issue
63,AppleSupport,AppleSupport customer issue example 63,account_issue
64,AppleSupport,AppleSupport customer issue example 64,prime_membership_issue
65,AppleSupport,AppleSupport customer issue example 65,digital_device_issue
66,AppleSupport,AppleSupport customer issue example 66,other
67,AppleSupport,AppleSupport customer issue example 67,delivery_issue
68,AppleSupport,AppleSupport customer issue example 68,delivery_not_received
69,AppleSupport,AppleSupport customer issue example 69,damaged_or_missing_item
70,AppleSupport,AppleSupport customer issue example 70,refund_issue
71,AppleSupport,AppleSupport customer issue example 71,payment_issue
72,AppleSupport,AppleSupport customer issue example 72,return_issue
73,AppleSupport,AppleSupport customer issue example 73,order_issue
74,AppleSupport,AppleSupport customer issue example 74,account_issue
75,AppleSupport,AppleSupport customer issue example 75,prime_membership_issue
76,AppleSupport,AppleSupport customer issue example 76,digital_device_issue
77,AppleSupport,AppleSupport customer issue example 77,other
78,AppleSupport,AppleSupport customer issue example 78,delivery_issue
79,AppleSupport,AppleSupport customer issue example 79,delivery_not_received
80,AppleSupport,AppleSupport customer issue example 80,damaged_or_missing_item
81,AppleSupport,AppleSupport customer issue example 81,refund_issue
82,AppleSupport,AppleSupport customer issue example 82,payment_issue
83,AppleSupport,AppleSupport customer issue example 83,return_issue
84,AppleSupport,AppleSupport customer issue example 84,order_issue
85,AppleSupport,AppleSupport customer issue example 85,account_issue
86,AppleSupport,AppleSupport customer issue example 86,prime_membership_issue
87,AppleSupport,AppleSupport customer issue example 87,digital_device_issue
88,AppleSupport,AppleSupport customer issue example 88,other
89,AppleSupport,AppleSupport customer issue example 89,delivery_issue
90,AppleSupport,AppleSupport customer issue example 90,delivery_not_received
91,AppleSupport,AppleSupport customer issue example 91,damaged_or_missing_item
92,AppleSupport,AppleSupport customer issue example 92,refund_issue
93,AppleSupport,AppleSupport customer issue example 93,payment_issue
94,AppleSupport,AppleSupport customer issue example 94,return_issue
95,AppleSupport,AppleSupport customer issue example 95,order_issue
96,AppleSupport,AppleSupport customer issue example 96,account_issue
97,AppleSupport,AppleSupport customer issue example 97,prime_membership_issue
98,AppleSupport,AppleSupport customer issue example 98,digital_device_issue
99,AppleSupport,AppleSupport customer issue example 99,other
100,AppleSupport,AppleSupport customer issue example 100,delivery_issue
101,AppleSupport,AppleSupport customer issue example 101,delivery_not_received
102,AppleSupport,AppleSupport customer issue example 102,damaged_or_missing_item
103,AppleSupport,AppleSupport customer issue example 103,refund_issue
104,AppleSupport,AppleSupport customer issue example 104,payment_issue
105,AppleSupport,AppleSupport customer issue example 105,return_issue
